CaliberID,Name,UserDefined,Diameter
ad0df354-1794-4cf8-85d6-a8c6ea3dc89c,264 Winchester Magnum,0,0.264
aa8eccf0-c3c8-4729-b990-05052984e692,26 Nosler,0,0.264
29a45d0a-4231-46a4-9b37-2ab79bb5d4ef,6.8 mm Remington SPC,0,0.277
b12bdbdd-3999-4733-be1c-34568fb9be69,270 Winchester Short Magnum,0,0.277
5e6d1187-c171-4ef3-a9c7-5c7f3cef8065,270 Winchester,0,0.277
e6c30a8a-723c-477f-82f4-54e4836d1b19,270 Weatherby Magnum,0,0.277
8f312c40-c2cf-44e2-874a-29552e555142,7-30 Waters,0,0.284
be9f05e9-2c97-4805-80df-eb48c903d9e1,7mm Shooting Times Easterner,0,0.284
32d07a7a-2912-4c04-8e1e-a411112ad661,7 x 57mm Mauser,0,0.284
b289c5a0-6322-4053-8de8-eab4cfc95468,280 Remington,0,0.284
addbaed2-2942-4354-92cf-df7b10013deb,284 Winchester,0,0.284
dab7e873-5fdb-4939-a54f-9357fcf8292f,280 Ackley Improved,0,0.284
b1caad51-f1f7-416c-a73d-2cd11d4b1048,7mm Rem. S.A. Ultra Mag.,0,0.284
a4bf9dfd-8ac5-4fdd-980a-3a258d10fa97,7mm Winchester Short Magnum,0,0.284
f3987277-cf2d-41f5-beb1-a16a2ef502ca,7mm Remington Magnum,0,0.284
49ed3829-6b86-4e0c-a26a-f20d0a3ea049,7mm Weatherby Magnum,0,0.284
cb31bbda-30d4-40c8-82e6-ad74a2a32ad1,7mm Shooting Times Westerner,0,0.284
a8f9c2a6-8108-46af-9230-23cf2bf107a2,28 Nosler,0,0.284
cff7d7fa-2dd2-4831-a53b-ed8bad5aa7ec,7mm Remington Ultra Magnum,0,0.284
5cb374d1-5a9b-4a1a-a802-90a372585abc,300 AAC Blackout,0,0.308
674208bf-9f81-4be0-ba8f-bbdd64e3e6c5,300 HAM&#039;R,0,0.308
99d2ca81-9ab2-447b-aa08-566d699beb0e,30 AR Remington,0,0.308
6dad19bc-8a97-4150-90ad-aa3059668a31,30-40 Krag,0,0.308
c3bf22ca-bd87-4ba4-9d44-ba6ce8386ffa,7.5 x 55mm Swiss,0,0.308
bf7924e2-a74d-4081-9a52-a013f49a5d94,300 Savage,0,0.308
7fac0144-b59c-4c0c-b4ed-8b3886de993c,7.62 x 54R,0,0.308
4954fd92-0a23-4479-b27e-24f90a699c48,307 Winchester,0,0.308
36bc6cbb-c5e4-4ec5-a953-f25d76acc6e3,308 Marlin Express,0,0.308
e8d3ef10-eac8-43be-bbe4-fa8d927a0e42,30 TC,0,0.308
aead6f9c-0dfc-4cf0-b4a1-c635a305315d,308 Winchester Service Rifle,0,0.308
fbd7b6d9-1b31-4a73-857c-4f7a50613d4c,30-06,0,0.308
d2997782-d0be-4975-8076-87df11e91d7b,300 H & H Magnum,0,0.308
51e908a3-59ff-4184-989f-5c448d58a06b,308 Norma Magnum,0,0.308
8aba93fd-d09f-416d-bf2c-f7e6cfb32eaa,300 Ruger Compact Magnum,0,0.308
dc6df420-0b28-4de0-aa21-486fa8436dba,300 Remington S.A. Ultra Mag.,0,0.308
edfb6143-b839-4015-9637-ad96964b6111,300 Winchester Short Magnum,0,0.308
e5986eef-49f4-4de6-832a-e8438a99d0ed,300 Winchester Magnum,0,0.308
2f5d2261-1f5b-4c7c-b557-6dab15ff00ca,300 PRC,0,0.308
932bd58c-359a-4f6f-b7ef-cfc0ed0ed669,30 Nosler,0,0.308
c638944a-20f5-4cba-8aee-7dffca4b0ef0,300 Weatherby Magnum,0,0.308
119af9f9-c3b6-48ba-a897-3d3d26c7136d,300 Remington Ultra Mag,0,0.308
c3f81ee9-e68a-49d5-9a92-7c0d99c8c1fb,30-378 Weatherby,0,0.308
0f2f8144-53fd-401c-8040-207a34442981,7.62 x 39mm Russian,0,0.308
42e32c84-7e1c-4655-abd9-214b42420f63,303 Savage,0,0.308
a6d77c2b-8096-4452-b026-d9c407991ffc,7.7 x 58mm Japanese,0,0.308
78859947-e18b-4ed2-a6b5-dcaef31fbe90,303 British,0,0.308
8557010f-3200-4ff3-900e-6fe77f372e91,7.65 x 53 Mauser,0,0.308
